,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,17,FAYOLA HURTADO Ronald Daniel,5,7.0,1,13,1.67
1, 9,CARRASCO ANGULO Jose Manuel,3,6.0,, 9,1.0
2, 7,VALENCIA GONZALEZ Edson Alberto,3,3.0,, 6,1.0
3, 4,MATA Hector,2,5.0,1,8,0.67
4,19,RIVAS QUIJADA Willner Enrique,2,1.0,1,4,0.67
5, 1,VELAZQUEZ ESCALANTE Armando Fernan.,2,,, 2,0.67
6,14,CANELO SANCHEZ Eliecer Alfonso,2,,, 2,0.67
7, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1,3.0,, 4,0.33
8,15,ARIAS GUZMAN Luis Antonio,1,1.0,, 2,0.33
9,11,VERDI Jose,1,,, 1,0.33
10,3,GONZALEZ Fernando,,,, ,
11,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
12,ls,,22,26.0,3,51,7.33
